***********************************************************
******Simulation Results Single Damper System**************

Time	Disp	Vel	Acc	Force
0.35200000	-73.28217554	0.01134738	-1.51791787	206.24428849
0.35400000	-73.30791432	0.00832398	-1.50543276	204.49786145
0.35600000	-73.32758152	0.00532582	-1.49268512	202.71622786
0.35800000	-73.34122707	0.00235341	-1.47968050	200.90014987
0.36000000	-73.34890197	-0.00059273	-1.46642445	199.05039135
0.36200000	-73.35065823	-0.00351212	-1.45292256	197.16771767
0.36400000	-73.34654888	-0.00640426	-1.43918042	195.25289548
0.36600000	-73.33662791	-0.00926868	-1.42520362	193.30669253
0.36800000	-73.32095030	-0.01210492	-1.41099776	191.32987744
0.37000000	-73.29957196	-0.01491253	-1.39656845	189.32321956
0.37200000	-73.27254969	-0.01769105	-1.38192131	187.28748867
0.37400000	-73.23994123	-0.02044007	-1.36706196	185.22345491
0.37600000	-73.20180515	-0.02315916	-1.35199602	183.13188847
0.37800000	-73.15820089	-0.02584792	-1.33672911	181.01355947
0.38000000	-73.10918871	-0.02850595	-1.32126686	178.86923773
0.38200000	-73.05482969	-0.03113286	-1.30561487	176.69969263
0.38400000	-72.99518566	-0.03372828	-1.28977878	174.50569285
0.38600000	-72.93031923	-0.03629186	-1.27376418	172.28800625
0.38800000	-72.86029374	-0.03882323	-1.25757669	170.04739963
0.39000000	-72.78517326	-0.04132205	-1.24122190	167.78463862
0.39200000	-72.70502252	-0.04378801	-1.22470539	165.50048742
0.39400000	-72.61990695	-0.04622077	-1.20803275	163.19570869
0.39600000	-72.52989262	-0.04862004	-1.19120955	160.87106331
0.39800000	-72.43504620	-0.05098551	-1.17424134	158.52731026
0.40000000	-72.33543499	-0.05331691	-1.15713365	156.16520644
0.40200000	-72.23112686	-0.05561396	-1.13989202	153.78550646
0.40400000	-72.12219024	-0.05787639	-1.12252194	151.38896252
0.40600000	-72.00869410	-0.06010396	-1.10502892	148.97632423
0.40800000	-71.89070791	-0.06229643	-1.08741843	146.54833841
0.41000000	-71.76830164	-0.06445356	-1.06969590	144.10574900
0.41200000	-71.64154574	-0.06657514	-1.05186678	141.64929684
0.41400000	-71.51051109	-0.06866096	-1.03393647	139.17971953
0.41600000	-71.37526901	-0.07071082	-1.01591036	136.69775129
0.41800000	-71.23589121	-0.07272454	-0.99779381	134.20412280
0.42000000	-71.09244980	-0.07470194	-0.97959214	131.69956104
0.42200000	-70.94501725	-0.07664286	-0.96131066	129.18478914
0.42400000	-70.79366635	-0.07854713	-0.94295467	126.66052627
0.42600000	-70.63847023	-0.08041463	-0.92452939	124.12748744
0.42800000	-70.47950232	-0.08224521	-0.90604005	121.58638340
0.43000000	-70.31683631	-0.08403875	-0.88749185	119.03792052
0.43200000	-70.15054617	-0.08579514	-0.86888993	116.48280057
0.43400000	-69.98070607	-0.08751428	-0.85023942	113.92172069
0.43600000	-69.80739043	-0.08919607	-0.83154541	111.35537318
0.43800000	-69.63067385	-0.09084043	-0.81281294	108.78444540
0.44000000	-69.45063109	-0.09244730	-0.79404705	106.20961967
0.44200000	-69.26733710	-0.09401660	-0.77525270	103.63157309
0.44400000	-69.08086693	-0.09554829	-0.75643484	101.05097746
0.44600000	-68.89129575	-0.09704233	-0.73759838	98.46849915
0.44800000	-68.69869885	-0.09849868	-0.71874817	95.88479896
0.45000000	-68.50315155	-0.09991732	-0.69988904	93.30053206
0.45200000	-68.30472926	-0.10129823	-0.68102578	90.71634781
0.45400000	-68.10350742	-0.10264142	-0.66216312	88.13288970
0.45600000	-67.89956148	-0.10394689	-0.64330576	85.55079524
0.45800000	-67.69296688	-0.10521465	-0.62445836	82.97069581
0.46000000	-67.48379905	-0.10644473	-0.60562552	80.39321662
0.46200000	-67.27213339	-0.10763717	-0.58681180	77.81897656
0.46400000	-67.05804522	-0.10879199	-0.56802173	75.24858813
0.46600000	-66.84160979	-0.10990927	-0.54925977	72.68265733
0.46800000	-66.62290227	-0.11098905	-0.53053035	70.12178359
0.47000000	-66.40199770	-0.11203142	-0.51183784	67.56655966
0.47200000	-66.17897099	-0.11303643	-0.49318657	65.01757151
0.47400000	-65.95389692	-0.11400419	-0.47458081	62.47539828
0.47600000	-65.72685009	-0.11493479	-0.45602480	59.94061218
0.47800000	-65.49790492	-0.11582833	-0.43752272	57.41377841
0.48000000	-65.26713563	-0.11668492	-0.41907867	54.89545507
0.48200000	-65.03461623	-0.11750468	-0.40069675	52.38619311
0.48400000	-64.80042050	-0.11828775	-0.38238097	49.88653624
0.48600000	-64.56462195	-0.11903425	-0.36413530	47.39702087
0.48800000	-64.32729386	-0.11974434	-0.34596366	44.91817602
0.49000000	-64.08850920	-0.12041816	-0.32786990	42.45052328
0.49200000	-63.84834067	-0.12105588	-0.30985783	39.99457676
0.49400000	-63.60686062	-0.12165765	-0.29193122	37.55084298
0.49600000	-63.36414112	-0.12222366	-0.27409374	35.11982084
0.49800000	-63.12025386	-0.12275409	-0.25634906	32.70200159
0.50000000	-62.87527020	-0.12324912	-0.23870074	30.29786872
0.50200000	-62.62926111	-0.12370896	-0.22115233	27.90789797
