"ADAMS/View model name: TP_6572N_vRoad_N45_nlParameter"
	"2016-04-"	"9 16:19:45"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"DYSensor4_MR4_ver"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

"TIME      "	"Q         "
6.280000e-001	5.153959e+000
6.290000e-001	5.157117e+000
6.300000e-001	5.159363e+000
6.310000e-001	5.160703e+000
6.320000e-001	5.161145e+000
6.330000e-001	5.160700e+000
6.340000e-001	5.159376e+000
6.350000e-001	5.157187e+000
6.360000e-001	5.154144e+000
6.370000e-001	5.150263e+000
6.380000e-001	5.145558e+000
6.390000e-001	5.140047e+000
6.400000e-001	5.133746e+000
6.410000e-001	5.126675e+000
6.420000e-001	5.118854e+000
6.430000e-001	5.110303e+000
6.440000e-001	5.101044e+000
6.450000e-001	5.091100e+000
6.460000e-001	5.080495e+000
6.470000e-001	5.069252e+000
6.480000e-001	5.057398e+000
6.490000e-001	5.044957e+000
6.500000e-001	5.031956e+000
6.510000e-001	5.018386e+000
6.520000e-001	5.004349e+000
6.530000e-001	4.989834e+000
6.540000e-001	4.974871e+000
6.550000e-001	4.959488e+000
6.560000e-001	4.943715e+000
6.570000e-001	4.927583e+000
6.580000e-001	4.911121e+000
6.590000e-001	4.894360e+000
6.600000e-001	4.877329e+000
6.610000e-001	4.860061e+000
6.620000e-001	4.842584e+000
6.630000e-001	4.824930e+000
6.640000e-001	4.807129e+000
6.650000e-001	4.789211e+000
6.660000e-001	4.771206e+000
6.670000e-001	4.753144e+000
6.680000e-001	4.735055e+000
6.690000e-001	4.716968e+000
6.700000e-001	4.698913e+000
6.710000e-001	4.680917e+000
6.720000e-001	4.663008e+000
6.730000e-001	4.645215e+000
6.740000e-001	4.627572e+000
6.750000e-001	4.610092e+000
6.760000e-001	4.592806e+000
6.770000e-001	4.575738e+000
6.780000e-001	4.558915e+000
6.790000e-001	4.542359e+000
6.800000e-001	4.526094e+000
6.810000e-001	4.510143e+000
6.820000e-001	4.494526e+000
6.830000e-001	4.479264e+000
6.840000e-001	4.464378e+000
6.850000e-001	4.449886e+000
6.860000e-001	4.435805e+000
6.870000e-001	4.422153e+000
6.880000e-001	4.408944e+000
6.890000e-001	4.396194e+000
6.900000e-001	4.383916e+000
6.910000e-001	4.372122e+000
6.920000e-001	4.360823e+000
6.930000e-001	4.350029e+000
6.940000e-001	4.339749e+000
6.950000e-001	4.329991e+000
6.960000e-001	4.320761e+000
6.970000e-001	4.312065e+000
6.980000e-001	4.303907e+000
6.990000e-001	4.296291e+000
7.000000e-001	4.289219e+000
7.010000e-001	4.282690e+000
7.020000e-001	4.276706e+000
7.030000e-001	4.271264e+000
7.040000e-001	4.266362e+000
7.050000e-001	4.261996e+000
7.060000e-001	4.258160e+000
7.070000e-001	4.254849e+000
7.080000e-001	4.252055e+000
7.090000e-001	4.249770e+000
7.100000e-001	4.247985e+000
7.110000e-001	4.246688e+000
7.120000e-001	4.245869e+000
7.130000e-001	4.245515e+000
7.140000e-001	4.245613e+000
7.150000e-001	4.246167e+000
7.160000e-001	4.247191e+000
7.170000e-001	4.248617e+000
7.180000e-001	4.250459e+000
7.190000e-001	4.252638e+000
7.200000e-001	4.255111e+000
7.210000e-001	4.257921e+000
7.220000e-001	4.261046e+000
7.230000e-001	4.264469e+000
7.240000e-001	4.268175e+000
7.250000e-001	4.272147e+000
7.260000e-001	4.276357e+000
7.270000e-001	4.280775e+000
7.280000e-001	4.285394e+000
