m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0,11237	4,62612	6,65151	1,42147	0,24298	-0,08732	3,77337	0,39166	-0,03371	3,71097
0,18945	5,22341	7,85625	1,85066	0,34614	-0,10583	4,02078	0,50369	-0,05026	3,92086
0,15768	5,44141	8,31128	1,99033	0,25562	-0,11642	3,70991	0,38857	-0,09054	3,51708
0,16820	5,05609	7,50906	1,84360	0,24690	-0,05004	3,11523	0,37206	0,00365	3,15430
0,24117	4,37396	5,99708	1,42323	0,20720	-0,12383	1,96810	0,30464	-0,10782	1,85052
0,08039	3,32802	3,76065	0,79580	-0,01960	-0,06255	0,80770	0,02720	-0,01947	0,86183
0,12177	2,16237	1,31786	0,03782	0,00544	-0,01174	-0,46624	-0,00864	0,01168	-0,43794
0,17086	1,07911	-1,00922	-0,75474	-0,07497	0,00472	-1,56482	-0,09450	0,01460	-1,54228
0,04115	0,05581	-3,01112	-1,49572	-0,27458	0,08055	-2,35457	-0,34976	0,10624	-2,23986
0,08451	-0,60422	-4,47417	-2,11861	-0,19279	0,07506	-2,96783	-0,30799	0,05525	-3,02344
0,16625	-1,14203	-5,53279	-2,55316	-0,18647	0,13251	-3,07996	-0,24198	0,13728	-2,94441
0,00495	-1,33909	-5,89914	-2,77447	-0,35296	0,06587	-3,14482	-0,47069	0,04758	-3,21592
0,03612	-1,31974	-5,87826	-2,75329	-0,22490	0,08081	-2,82599	-0,33622	0,07071	-2,83934
0,12146	-1,14388	-5,49664	-2,49427	-0,13413	0,08745	-2,28744	-0,17366	0,09346	-2,23213
0,07326	-0,63612	-4,44464	-2,02597	-0,17939	0,03906	-1,70515	-0,22600	0,03493	-1,85400
0,07732	-0,04424	-3,16638	-1,37583	-0,05095	0,02745	-0,72451	-0,08225	0,06864	-0,65401
0,14047	0,87638	-1,24826	-0,61700	0,05095	-0,01174	0,19216	0,08431	-0,00207	0,06678
0,08961	1,94281	0,99172	0,19332	0,05398	-0,04149	1,33942	0,11603	0,00755	1,26909
0,16359	3,00669	3,29055	0,96648	0,23274	-0,06370	2,38339	0,31959	-0,02665	2,34300
0,09708	4,11029	5,47951	1,60595	0,19658	-0,13647	3,08944	0,30825	-0,11281	2,84076
0,19273	4,73789	6,88083	2,05207	0,32098	-0,05936	3,69954	0,49828	0,01132	3,74875
0,21060	5,15253	7,72070	2,23591	0,28394	-0,18166	3,46706	0,40107	-0,17683	3,20290
0,12911	5,00190	7,37008	2,15633	0,18697	-0,07251	3,14191	0,30825	-0,01704	3,15907
0,22609	4,46602	6,17112	1,81270	0,24197	-0,09893	2,26759	0,34937	-0,06328	2,21924
0,17435	3,66474	4,52359	1,24693	0,06384	-0,06077	1,10516	0,12454	-0,05257	1,01770
0,10370	2,56188	2,21674	0,53161	-0,03173	0,02962	0,09014	-0,04319	0,08373	0,24018
0,20508	1,59326	0,08128	-0,26311	0,01062	-0,00549	-1,12665	0,00645	-0,01193	-1,22668
0,07607	0,55630	-2,00818	-1,03603	-0,20075	0,06625	-1,87051	-0,23721	0,09772	-1,69376
0,01409	-0,17333	-3,57740	-1,73224	-0,23919	0,05004	-2,61259	-0,35634	0,04162	-2,67226
0,14109	-0,75333	-4,79445	-2,27635	-0,16043	0,06919	-2,91587	-0,22832	0,07046	-2,86126
0,08901	-1,17464	-5,54417	-2,62699	-0,27850	0,10225	-3,00436	-0,34306	0,10332	-2,91889
0,00172	-1,18427	-5,62745	-2,76254	-0,29961	0,04187	-2,97149	-0,44349	0,01387	-3,11846
0,11708	-1,16393	-5,56161	-2,65826	-0,13856	0,13289	-2,36165	-0,18681	0,16794	-2,19423
0,10448	-0,74703	-4,63031	-2,34981	-0,16510	0,03281	-1,99010	-0,20601	-0,00183	-2,17785
0,03320	-0,20977	-3,54164	-1,84711	-0,12263	0,05208	-1,06546	-0,16205	0,08032	-1,01499
0,11479	0,53714	-1,98109	-1,21373	0,02048	-0,02655	-0,21314	0,02089	-0,00560	-0,28556
0,09060	1,46333	0,01776	-0,50892	0,01757	-0,03804	0,66434	0,07568	-0,03164	0,51052
0,14724	2,32961	1,81438	0,21043	0,15613	-0,03817	1,72411	0,22265	0,02203	1,78258
0,13065	3,29349	3,83052	0,85271	0,14892	-0,11349	2,27758	0,22097	-0,09967	1,99517
0,12313	3,91922	5,17263	1,36579	0,22123	-0,01200	2,95873	0,36484	0,04065	3,00926
0,18266	4,40987	6,10839	1,67853	0,27876	-0,10685	3,00740	0,39643	-0,08872	2,83251
0,09201	4,53776	6,34508	1,77386	0,14197	-0,09919	2,85405	0,23115	-0,05330	2,75322
0,19505	4,21271	5,72065	1,64779	0,24032	-0,05106	2,37606	0,35685	-0,00706	2,40707
0,21432	3,76945	4,70294	1,31007	0,14955	-0,12472	1,46975	0,22896	-0,12681	1,31821
0,06063	2,96310	3,01966	0,81561	-0,02187	-0,00485	0,74588	0,00000	0,05866	0,87008
0,16349	2,19557	1,38315	0,20766	0,04324	-0,03357	-0,25992	0,04203	-0,02093	-0,33519
0,20357	1,38586	-0,20911	-0,43385	-0,06422	0,03574	-0,95965	-0,05157	0,05537	-0,85861
0,06557	0,71003	-1,64255	-1,05539	-0,20568	0,03689	-1,62247	-0,28466	0,05501	-1,62646
0,15570	0,18531	-2,79990	-1,60144	-0,09886	0,04583	-2,04155	-0,15947	0,04564	-2,04610
0,15365	-0,27344	-3,66870	-2,02793	-0,17395	0,07302	-2,22537	-0,20086	0,07752	-2,12938
0,01695	-0,41651	-4,05268	-2,31088	-0,25865	0,02885	-2,33889	-0,35582	0,01436	-2,44485
0,07792	-0,52771	-4,25117	-2,41876	-0,13780	0,06536	-2,07025	-0,20498	0,08458	-1,99040
0,11667	-0,39331	-3,88805	-2,36278	-0,13666	0,05170	-1,85003	-0,15445	0,02714	-1,91228
0,05128	-0,06276	-3,26766	-2,14697	-0,16283	0,02962	-1,33461	-0,20821	0,03943	-1,38035
0,13674	0,32542	-2,39771	-1,79622	-0,01530	0,01723	-0,70795	-0,03764	0,04625	-0,69050
0,12904	0,93732	-1,08042	-1,35716	-0,04235	-0,00868	-0,15701	-0,01508	-0,01716	-0,29549
0,09448	1,55484	0,13042	-0,86483	0,02238	-0,00600	0,65953	0,05930	0,04405	0,68070
0,14945	2,22510	1,58357	-0,38034	0,13160	-0,05770	1,18721	0,16592	-0,04564	1,04529
0,03203	2,85013	2,84802	0,05458	0,04981	-0,02591	1,74055	0,13846	0,00231	1,66694
0,15414	3,30203	3,75182	0,39023	0,23678	-0,04774	2,11336	0,33713	-0,00511	2,07833
0,14857	3,60393	4,44076	0,58449	0,13641	-0,10570	2,05799	0,20498	-0,09079	1,88366
0,08148	3,56477	4,38667	0,62883	0,09469	-0,02681	1,96760	0,18526	0,01704	2,00007
0,23159	3,39888	3,89914	0,51206	0,22048	-0,08528	1,49782	0,30348	-0,06912	1,39286
0,09987	2,96083	3,04224	0,26156	-0,01403	-0,04519	0,95611	0,03107	-0,00608	0,94795
0,06336	2,40622	1,87094	-0,09123	-0,00038	-0,00396	0,32869	0,00541	0,03055	0,34370
0,21672	1,87169	0,68576	-0,50427	0,09532	-0,00728	-0,31125	0,13047	-0,00158	-0,34357
0,03143	1,26870	-0,51602	-0,92880	-0,16409	0,01749	-0,81515	-0,18242	0,05014	-0,74722
0,04750	0,81732	-1,49331	-1,32734	-0,10859	0,00626	-1,31135	-0,17017	0,00961	-1,37184
0,18878	0,37961	-2,35607	-1,65418	-0,04008	0,04277	-1,53044	-0,04267	0,05379	-1,45216
0,04195	0,11786	-2,90125	-1,88700	-0,21871	0,02770	-1,73271	-0,26377	0,03237	-1,77652
0,04031	-0,00820	-3,14831	-1,99714	-0,15271	0,02553	-1,69567	-0,23038	0,03371	-1,70433
0,17490	-0,00969	-3,13096	-1,97568	-0,04121	0,07162	-1,46508	-0,04203	0,07801	-1,42483
0,07195	0,20633	-2,69799	-1,83138	-0,16991	0,01289	-1,24928	-0,19441	0,01047	-1,37777
0,06188	0,41352	-2,23641	-1,56737	-0,04576	0,04685	-0,73627	-0,07142	0,07630	-0,65840
0,13034	0,87680	-1,30510	-1,22292	-0,00531	-0,02362	-0,34513	0,00052	-0,02519	-0,47791
0,05250	1,33711	-0,31320	-0,81956	-0,05398	0,01060	0,25423	-0,01186	0,04454	0,23631
0,14081	1,81997	0,69534	-0,39896	0,13021	-0,04391	0,74474	0,15316	-0,01947	0,69952
0,08031	2,36229	1,76651	-0,00141	0,03793	-0,05719	1,11452	0,09617	-0,03760	0,97283
0,11841	2,69919	2,52328	0,34344	0,11959	-0,03204	1,54030	0,20846	0,02239	1,57618
0,18857	3,02906	3,23638	0,59059	0,18369	-0,08259	1,56052	0,25114	-0,07825	1,40008
0,05352	3,16133	3,48013	0,73028	0,02490	-0,04417	1,64813	0,08302	0,00268	1,64129
0,18198	3,12656	3,37456	0,74442	0,18761	-0,04264	1,44687	0,27537	-0,00937	1,39028
0,19904	2,94190	3,05690	0,63785	0,10189	-0,07302	1,06483	0,16553	-0,06012	0,99539
0,05383	2,56599	2,27659	0,43198	-0,02415	-0,00523	0,65966	-0,00297	0,03310	0,68122
0,17984	2,16016	1,31430	0,15044	0,09785	-0,04647	0,07168	0,12621	-0,03736	-0,00116
0,14547	1,59044	0,18490	-0,16284	-0,05360	0,00702	-0,41124	-0,02643	0,03541	-0,33764
0,00365	1,11083	-0,84362	-0,47435	-0,16295	0,00064	-0,97659	-0,22729	0,01363	-1,04000
0,14938	0,65414	-1,83904	-0,73573	0,00379	0,05208	-1,25661	-0,00902	0,06985	-1,19638
0,11471	0,33792	-2,44414	-0,92256	-0,14387	0,04468	-1,47203	-0,16038	0,05622	-1,45629
0,00935	0,25651	-2,63820	-1,01238	-0,17901	0,04085	-1,46331	-0,24817	0,05257	-1,49973
0,16328	0,29417	-2,55260	-0,99207	0,00683	0,03345	-1,17393	-0,01238	0,05671	-1,11787
0,10422	0,53417	-1,96721	-0,87704	-0,10480	0,00932	-0,94284	-0,09153	-0,00061	-1,03691
0,04339	0,83513	-1,37435	-0,67401	-0,07181	-0,01213	-0,45182	-0,09901	0,02032	-0,43627
0,18932	1,22362	-0,52930	-0,41532	0,06675	-0,02783	-0,04387	0,07761	-0,01095	-0,10481
0,09677	1,64917	0,40133	-0,12891	-0,05398	-0,00664	0,35549	-0,01457	0,00852	0,27357
0,14971	2,03260	1,14419	0,15602	0,10897	-0,00102	0,83740	0,14658	0,04272	0,85964
0,15076	2,45219	1,99607	0,39768	0,08053	-0,05681	1,02779	0,11293	-0,04138	0,87021
0,06289	2,69086	2,53393	0,57847	0,01947	0,00881	1,30073	0,08947	0,04965	1,32105
0,23393	2,88612	2,88490	0,66620	0,21150	-0,07200	1,31957	0,27692	-0,05063	1,24047
0,14471	2,91979	3,02102	0,65265	0,03906	-0,08387	1,20529	0,08831	-0,05732	1,12625
0,09310	2,75453	2,67464	0,53998	0,04943	-0,04774	0,99872	0,09978	-0,01241	1,00958
0,23120	2,53911	2,14156	0,33336	0,15107	-0,06957	0,56421	0,20950	-0,06426	0,47572
0,09596	2,13591	1,34776	0,06250	-0,08179	0,00013	0,19595	-0,07400	0,04065	0,24237
0,06641	1,73836	0,45159	-0,24947	-0,04437	0,00702	-0,32338	-0,06743	0,02665	-0,38947
0,22078	1,28870	-0,46589	-0,56144	0,04602	0,04800	-0,68026	0,07168	0,06243	-0,62642
0,04708	0,90880	-1,24438	-0,84735	-0,18331	0,03345	-1,04132	-0,21968	0,05695	-1,05792
0,06245	0,62849	-1,85190	-1,07438	-0,09747	0,01200	-1,26622	-0,15122	0,02032	-1,30364
0,18805	0,39872	-2,30227	-1,21772	-0,03312	0,04034	-1,27823	-0,02398	0,05586	-1,20605
0,04732	0,37552	-2,36380	-1,27221	-0,18495	-0,00447	-1,31616	-0,22058	0,00073	-1,42406
0,05706	0,37776	-2,31656	-1,22116	-0,07282	0,02004	-1,05371	-0,11835	0,04625	-0,99939
0,15826	0,58477	-1,89383	-1,08045	-0,01947	0,01672	-0,83020	-0,01018	0,01436	-0,89780
0,07417	0,87979	-1,29109	-0,85927	-0,10493	0,01238	-0,43868	-0,09901	0,03675	-0,48203
0,14542	1,19630	-0,61115	-0,58041	0,04538	0,00281	-0,01391	0,03971	0,02799	-0,01766
0,12484	1,62669	0,32362	-0,27580	-0,00721	-0,01123	0,31845	0,01328	-0,00402	0,18990
0,10352	1,96430	0,99875	0,03350	0,04020	0,00140	0,79480	0,09966	0,05026	0,82225
0,16180	2,33865	1,77953	0,30562	0,13097	-0,06064	0,98329	0,17172	-0,05343	0,86145
0,08016	2,63443	2,39411	0,52118	0,02200	-0,02272	1,24220	0,06923	0,01266	1,21069
0,16208	2,83443	2,75234	0,65237	0,15069	-0,05655	1,38885	0,23309	-0,01253	1,36926
0,18352	2,96758	3,09372	0,67970	0,12250	-0,06587	1,28190	0,18449	-0,05610	1,16402
0,05906	2,90958	2,95362	0,60453	0,01846	-0,01851	1,20718	0,05015	0,02665	1,23261
0,20018	2,79432	2,65297	0,42133	0,14361	-0,06230	0,89455	0,21014	-0,04430	0,82032
0,15008	2,51177	2,12786	0,14984	0,00834	-0,03677	0,54537	0,05286	-0,01095	0,53592
0,06680	2,13833	1,32758	-0,18852	-0,03034	0,00460	0,10126	-0,04783	0,03188	0,09192
0,18479	1,73234	0,42878	-0,56270	0,04918	-0,02387	-0,35663	0,06987	-0,01351	-0,37851
0,10589	1,25940	-0,49430	-0,93871	-0,11390	0,02885	-0,75599	-0,10455	0,04917	-0,70958
0,03021	0,89096	-1,30477	-1,28685	-0,13767	0,00409	-1,15421	-0,20859	0,01217	-1,21224
0,16352	0,53253	-2,06563	-1,56953	-0,02263	0,05132	-1,31021	-0,02888	0,06779	-1,23944
0,06427	0,33531	-2,45875	-1,77041	-0,18849	0,02336	-1,48783	-0,21800	0,02300	-1,53815
0,03188	0,23326	-2,68523	-1,86521	-0,12693	0,04417	-1,41552	-0,18655	0,05671	-1,41529
0,14172	0,25633	-2,62310	-1,84903	-0,03325	0,03115	-1,20807	-0,05247	0,04527	-1,19045
0,06247	0,46406	-2,14708	-1,73014	-0,15069	0,02464	-0,97811	-0,14916	0,02495	-1,06475
0,08826	0,70591	-1,62536	-1,51622	-0,03148	0,00268	-0,53931	-0,06033	0,02580	-0,51504
0,16297	1,08146	-0,84435	-1,23849	0,02023	-0,01149	-0,18255	0,02875	-0,00414	-0,26944
0,07167	1,46318	-0,02036	-0,91911	-0,06650	-0,02094	0,26548	-0,03146	0,00608	0,22226
0,17086	1,83378	0,74250	-0,59047	0,13400	-0,01583	0,66080	0,17907	0,00341	0,63571
0,11893	2,24268	1,58328	-0,28541	0,02718	-0,04877	0,93968	0,04912	-0,02458	0,82496
0,08844	2,51510	2,17862	-0,02680	0,05651	0,00779	1,25282	0,12737	0,05172	1,25917
0,21568	2,78237	2,71474	0,15184	0,19127	-0,06140	1,30250	0,26106	-0,05854	1,19226
0,09234	2,89453	2,93896	0,23988	0,02554	-0,02706	1,33664	0,06923	0,01156	1,30132
0,12740	2,85323	2,81789	0,22642	0,10291	-0,05387	1,18695	0,15780	-0,01582	1,14352
0,20547	2,68411	2,50813	0,11429	0,13767	-0,05132	0,85093	0,21246	-0,04819	0,78938
0,04000	2,39167	1,85846	-0,07816	-0,05980	-0,03153	0,50821	-0,06652	0,00669	0,50550
0,13307	2,04216	1,07268	-0,33030	0,06334	-0,02208	0,08331	0,08767	-0,00085	0,05131
0,17932	1,63406	0,28604	-0,61081	0,00139	-0,00868	-0,33805	0,03146	-0,00329	-0,32952
0,02742	1,24680	-0,55284	-0,88973	-0,14665	0,02860	-0,73387	-0,19003	0,04856	-0,75870
0,15034	0,89216	-1,33161	-1,13358	-0,00632	0,01570	-0,99985	-0,03287	0,02933	-0,98134
0,13927	0,60617	-1,85813	-1,31972	-0,09418	0,04060	-1,20642	-0,09256	0,04174	-1,21301
0,02237	0,46125	-2,18802	-1,42547	-0,17990	0,02157	-1,27393	-0,24082	0,03249	-1,30893
0,13289	0,37906	-2,38648	-1,43501	-0,00885	0,03689	-1,17457	-0,03159	0,05367	-1,15229
0,10016	0,44164	-2,19424	-1,35036	-0,10556	0,00932	-1,06167	-0,11087	0,00657	-1,11490
0,02005	0,60896	-1,89740	-1,17218	-0,10645	0,01608	-0,74486	-0,13085	0,03943	-0,75470
0,15716	0,87919	-1,30966	-0,91783	0,04450	-0,00906	-0,38621	0,03262	0,00974	-0,41899
0,08167	1,24875	-0,47523	-0,61130	-0,05954	0,01519	0,00190	-0,03249	0,02690	-0,06214
0,08721	1,65885	0,31117	-0,27675	0,05790	-0,01417	0,49455	0,08754	0,01947	0,47391
0,16302	2,09323	1,27242	0,04825	0,10531	-0,04302	0,82552	0,13923	-0,02629	0,72737
0,06292	2,45315	2,03872	0,33568	0,01466	-0,03102	1,12185	0,06330	-0,00499	1,05908
0,19836	2,68060	2,47344	0,55713	0,18925	-0,05170	1,28190	0,26751	-0,02556	1,24447
0,15958	2,77914	2,72365	0,69183	0,06093	-0,08247	1,18936	0,10559	-0,06024	1,07906
0,07789	2,68568	2,53612	0,73910	0,03224	-0,01264	1,06281	0,07039	0,02276	1,06733
0,24961	2,53318	2,18362	0,69751	0,17041	-0,03817	0,76446	0,23515	-0,02957	0,71345
0,09453	2,30128	1,67294	0,58420	-0,05373	-0,00906	0,47660	-0,03764	0,02811	0,45883
0,07367	2,03466	1,07247	0,41737	0,01517	0,00421	0,19330	0,01354	0,03882	0,19815
0,25341	1,81320	0,61078	0,21543	0,11732	-0,01366	-0,09608	0,17043	-0,01193	-0,12157
0,05156	1,56073	0,12198	0,00059	-0,13325	-0,00804	-0,31693	-0,14774	0,01752	-0,31624
0,10070	1,35297	-0,33583	-0,20797	-0,01150	-0,01468	-0,52704	-0,03984	0,00195	-0,55281
0,21664	1,13906	-0,74333	-0,39183	0,02339	0,00626	-0,67255	0,05260	0,01071	-0,65801
0,01500	0,99974	-1,07018	-0,53852	-0,17800	0,01047	-0,79872	-0,20769	0,02933	-0,83927
0,10383	0,89542	-1,30354	-0,63225	-0,00556	0,02796	-0,78317	-0,03842	0,04588	-0,76759
0,17372	0,88591	-1,26594	-0,67142	-0,03021	0,03000	-0,75599	-0,01792	0,03188	-0,78371
0,02034	0,95823	-1,15318	-0,65338	-0,15044	0,02923	-0,60378	-0,16837	0,05562	-0,63029
0,16026	1,08792	-0,87367	-0,58309	0,05841	0,01021	-0,37205	0,05221	0,02799	-0,36278
0,15922	1,31823	-0,33094	-0,47669	-0,03312	-0,02425	-0,19153	-0,00993	-0,02507	-0,27512
0,07133	1,52568	0,07115	-0,34338	-0,05019	-0,00868	0,13110	-0,02914	0,02470	0,14388
0,18911	1,75357	0,54010	-0,20720	0,11605	-0,03843	0,28343	0,13550	-0,02994	0,19892
0,07036	1,92701	0,93992	-0,08071	-0,04463	-0,01353	0,46902	-0,01947	0,00998	0,44181
0,09964	2,06943	1,16409	0,02009	0,05107	-0,01187	0,57243	0,09012	0,01716	0,53167
0,19693	2,14161	1,36299	0,08365	0,10543	-0,02196	0,56206	0,14130	-0,00840	0,50769
0,04615	2,13466	1,36172	0,10654	-0,06258	0,00319	0,51996	-0,05286	0,02921	0,49596
0,16513	2,09872	1,21255	0,08782	0,09595	-0,02579	0,42806	0,13614	-0,00365	0,38921
0,19685	1,96901	1,01172	0,03232	0,04829	-0,02860	0,26637	0,08122	-0,01241	0,24688
0,03932	1,84495	0,73247	-0,05157	-0,09317	-0,02030	0,08634	-0,10533	0,00341	0,04602
0,21500	1,68211	0,37901	-0,15049	0,10139	-0,00791	-0,03590	0,14065	0,00669	-0,02656
0,16263	1,54068	0,12518	-0,25654	-0,04817	-0,00983	-0,23287	-0,03906	0,00024	-0,27821
0,04172	1,39409	-0,19255	-0,35357	-0,09810	0,02362	-0,32022	-0,12840	0,05099	-0,31921
0,19435	1,28706	-0,45391	-0,43272	0,06612	0,00932	-0,40998	0,08663	0,01546	-0,42557
0,08227	1,21091	-0,59036	-0,48676	-0,09153	0,01813	-0,47787	-0,08702	0,02738	-0,51439
0,03901	1,16237	-0,73922	-0,50634	-0,06561	0,01162	-0,43198	-0,09592	0,04162	-0,42466
0,19247	1,17740	-0,64932	-0,49252	0,04033	-0,00383	-0,41908	0,05789	-0,00110	-0,46218
0,08617	1,23766	-0,49461	-0,44460	-0,09975	0,00472	-0,28242	-0,09940	0,02933	-0,29355
0,09044	1,38115	-0,29698	-0,36969	0,00948	-0,00396	-0,09090	0,00722	0,02385	-0,10249
0,16904	1,58628	0,18896	-0,28103	0,04551	-0,02694	0,09039	0,06768	-0,01740	0,02759
0,10578	1,78714	0,66714	-0,19039	-0,04753	-0,00102	0,31795	-0,02050	0,02604	0,29175
0,19820	1,98888	1,05883	-0,11642	0,10645	-0,03153	0,50290	0,13472	-0,01059	0,47533
0,14451	2,16633	1,44104	-0,07520	0,00847	-0,03536	0,58431	0,03881	-0,01594	0,49970
0,07891	2,24448	1,56047	-0,07479	0,00607	-0,01430	0,65587	0,03584	0,01631	0,64138
0,19078	2,24565	1,56016	-0,12577	0,12756	-0,02745	0,55890	0,17959	-0,02057	0,50808
0,06961	2,17237	1,40573	-0,22552	-0,05272	-0,02489	0,41592	-0,04383	0,00049	0,36871
0,05792	2,00583	1,00221	-0,36529	0,01163	0,00115	0,25120	0,02952	0,03164	0,24766
0,20703	1,81302	0,64609	-0,53574	0,08306	-0,02489	-0,03249	0,11886	-0,02653	-0,07838
0,04513	1,58211	0,18190	-0,71808	-0,13514	0,01085	-0,23287	-0,14955	0,03919	-0,22948
0,10156	1,37339	-0,30651	-0,89616	-0,01125	-0,00511	-0,43425	-0,02514	0,01278	-0,45986
0,20203	1,17784	-0,66948	-1,05323	0,02212	0,01813	-0,58140	0,05466	0,02142	-0,57563
0,01510	1,05497	-0,94109	-1,17668	-0,16725	0,00536	-0,67179	-0,20408	0,02531	-0,70210
0,09143	0,97544	-1,14370	-1,25321	-0,00872	0,01149	-0,68671	-0,02449	0,02118	-0,70313
0,19154	0,92953	-1,15846	-1,27822	-0,01466	0,01277	-0,66484	0,00657	0,01582	-0,67838
0,02438	0,96802	-1,12786	-1,25011	-0,15309	0,00804	-0,59025	-0,17817	0,02921	-0,63648
0,12495	1,01831	-1,01604	-1,16790	0,02630	0,00651	-0,43779	0,01856	0,02093	-0,44336
0,12167	1,15536	-0,71266	-1,04226	-0,02731	0,01047	-0,29557	-0,00567	0,01400	-0,34834
0,02375	1,34096	-0,38401	-0,88096	-0,06852	0,00536	-0,02807	-0,06562	0,03748	-0,04590
0,14607	1,56193	0,13036	-0,70164	0,09115	-0,00574	0,19608	0,11474	0,00499	0,15238
0,06073	1,82159	0,68005	-0,52218	-0,02490	-0,01174	0,41668	0,00232	0,00462	0,34190
0,06120	2,02284	1,06401	-0,35832	0,04361	-0,01162	0,65637	0,08290	0,02531	0,64628
0,17180	2,20565	1,50760	-0,23169	0,11188	-0,05119	0,70163	0,15264	-0,04418	0,60348
0,05289	2,30112	1,69698	-0,14999	-0,02073	-0,02694	0,76383	0,01225	0,00195	0,73536
0,15716	2,31802	1,68034	-0,12334	0,12086	-0,04200	0,73842	0,17881	-0,01667	0,71280
0,14430	2,26909	1,63013	-0,15481	0,03957	-0,04864	0,54095	0,07477	-0,03797	0,44890
0,05628	2,09810	1,26716	-0,23216	-0,03932	0,00740	0,38823	-0,03378	0,04272	0,39798
0,18383	1,91411	0,82333	-0,34921	0,09507	-0,01902	0,12718	0,13266	-0,00450	0,09089
0,10177	1,68859	0,40167	-0,48808	-0,05537	-0,00345	-0,12452	-0,03984	0,01290	-0,15767
0,03883	1,44708	-0,10250	-0,62891	-0,06890	0,01302	-0,32869	-0,09385	0,03833	-0,32501
0,24169	1,24667	-0,50781	-0,75597	0,06068	0,00153	-0,54006	0,09024	0,00535	-0,57073
0,12461	1,05227	-0,85727	-0,85160	-0,12642	0,00255	-0,66686	-0,13459	0,01947	-0,66394
0,07461	0,94516	-1,15120	-0,90308	-0,08268	0,00753	-0,73500	-0,12273	0,02495	-0,76540
0,18982	0,89617	-1,26768	-0,89991	0,02124	0,01366	-0,68393	0,03829	0,02799	-0,68276
0,07138	0,93745	-1,15997	-0,84283	-0,11454	0,01723	-0,59683	-0,11822	0,03262	-0,63545
0,09378	1,07073	-0,92583	-0,73208	-0,01770	0,00204	-0,38495	-0,03648	0,02714	-0,40081
0,17323	1,24302	-0,51724	-0,58043	0,03641	0,00013	-0,16902	0,06394	0,01180	-0,19892
0,05091	1,48357	-0,05078	-0,40207	-0,07800	-0,01826	0,04008	-0,06910	-0,00024	-0,04216
0,15557	1,64341	0,29430	-0,20830	0,08938	-0,01072	0,27382	0,10958	0,01533	0,27860
0,13779	1,82414	0,69021	-0,02068	0,00771	-0,04417	0,34133	0,03958	-0,03237	0,23812
0,05557	1,91758	0,86953	0,15519	-0,01365	-0,00651	0,49847	0,01856	0,02994	0,49596
0,19992	2,01617	1,07839	0,30341	0,13072	-0,02489	0,52679	0,16966	-0,01071	0,48461
0,08893	2,12016	1,30846	0,41678	-0,04349	-0,01519	0,56434	-0,01457	0,01095	0,50240
0,11388	2,17839	1,38445	0,49095	0,06662	-0,00115	0,67318	0,10236	0,04186	0,69553
0,21424	2,26464	1,60279	0,51270	0,12389	-0,04404	0,58520	0,17946	-0,04539	0,48874
0,05914	2,26914	1,59951	0,48622	-0,04399	-0,03562	0,59253	-0,01521	-0,00353	0,59252
0,16773	2,21323	1,42586	0,40704	0,11150	-0,05387	0,47117	0,14813	-0,02726	0,43021
0,16490	2,07206	1,21763	0,28176	0,01833	-0,05502	0,24993	0,06137	-0,04564	0,20537
0,03659	1,87281	0,78023	0,12401	-0,07370	0,00485	0,05891	-0,07774	0,03627	0,06124
0,17862	1,68430	0,31865	-0,05399	0,07686	0,00434	-0,16548	0,09179	0,02361	-0,19132
