m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0,19169	1,97112	0,94039	-0,18664	0,03970	-0,03970	-0,26927	0,07194	-0,03955	-0,30348
0,03193	1,39130	-0,25964	-0,67776	-0,15866	0,02502	-0,73854	-0,17804	0,06255	-0,66807
0,03846	0,91862	-1,31867	-1,15120	-0,07762	-0,00396	-1,29643	-0,13730	-0,00803	-1,36810
0,13870	0,44271	-2,29427	-1,55968	-0,07080	0,05579	-1,53284	-0,06330	0,07229	-1,43360
0,00531	0,13805	-2,88398	-1,88015	-0,24690	0,02106	-1,80426	-0,31418	0,03079	-1,86316
0,05318	-0,06260	-3,26445	-2,07753	-0,11959	0,04825	-1,82512	-0,18900	0,05111	-1,82448
0,14276	-0,13104	-3,39552	-2,13861	-0,10063	0,06038	-1,65306	-0,11422	0,07387	-1,60042
0,04656	0,03701	-3,04167	-2,06777	-0,20189	0,03319	-1,46495	-0,24069	0,03614	-1,58508
0,08385	0,22771	-2,60661	-1,86332	-0,04551	0,04123	-0,95586	-0,09102	0,07083	-0,87666
0,14570	0,67599	-1,68875	-1,56264	-0,01934	0,01149	-0,54639	-0,00064	0,00645	-0,65891
0,05456	1,15732	-0,66284	-1,18883	-0,07648	-0,01430	0,07155	-0,05634	0,01996	0,04499
0,14927	1,65190	0,38940	-0,78480	0,11024	-0,03243	0,60290	0,12905	-0,00828	0,56777
0,08042	2,21023	1,54164	-0,39288	0,02503	-0,05553	1,01414	0,07258	-0,03566	0,87189
0,09508	2,58367	2,33768	-0,04269	0,10227	-0,00996	1,47797	0,18822	0,04649	1,51095
0,17760	2,95336	3,10362	0,21872	0,17395	-0,09255	1,53436	0,22174	-0,08336	1,36166
0,07086	3,10135	3,39628	0,37881	0,04728	-0,00881	1,66103	0,11835	0,04296	1,67506
0,17826	3,14094	3,40719	0,41521	0,16068	-0,07123	1,51021	0,24005	-0,03042	1,43798
0,19674	3,00758	3,21674	0,33018	0,10695	-0,05847	1,19226	0,17172	-0,03736	1,12612
0,08367	2,71125	2,56544	0,13925	-0,00405	-0,02068	0,83702	0,01173	0,02239	0,85732
0,19615	2,36909	1,76049	-0,14002	0,10455	-0,04315	0,32022	0,15316	-0,02799	0,24495
0,13539	1,86719	0,77591	-0,46830	-0,04538	-0,00689	-0,12655	-0,02449	0,02385	-0,07568
0,04099	1,42177	-0,19419	-0,81622	-0,10202	0,00715	-0,65991	-0,14349	0,02385	-0,71641
0,17250	0,96768	-1,11956	-1,14140	0,00126	0,01098	-0,97950	0,00632	0,02775	-0,93209
0,08299	0,60604	-1,84164	-1,41720	-0,15082	0,03791	-1,30326	-0,16747	0,04527	-1,32118
0,02714	0,37115	-2,38466	-1,61164	-0,15840	0,02247	-1,46520	-0,23464	0,03554	-1,50012
0,14768	0,18727	-2,76362	-1,70184	-0,04033	0,06064	-1,40756	-0,04899	0,08154	-1,34180
0,07638	0,22727	-2,65313	-1,68592	-0,15790	0,02055	-1,37911	-0,18345	0,01679	-1,48375
0,04443	0,30867	-2,47161	-1,55289	-0,09937	0,04877	-1,03993	-0,14310	0,07716	-0,99385
0,15081	0,57185	-1,93924	-1,32346	-0,00531	-0,00970	-0,74132	-0,01147	0,00097	-0,81117
0,07635	0,90318	-1,18813	-1,01415	-0,08609	0,01008	-0,30467	-0,05840	0,02969	-0,34796
0,11094	1,29536	-0,38682	-0,65178	0,04779	-0,02425	0,17952	0,05015	0,00487	0,16734
0,11953	1,79344	0,63354	-0,27277	0,04109	-0,03715	0,60732	0,07555	-0,01497	0,49841
